"soc_code","occupation","sector","ai_exposure","emp_change_pct","education_num","routine_task_score","thinking_creatively","physical_hazard","consequence_of_error","time_pressure","contact_with_others","degree_of_automation","log_median_wage","log1p_annual_openings"
"11-1011","Chief executives","Management",1.334246,4.3,6,1.81,4.325,1.35,2.585,3.82,4.495,1.895,12.2376682071199,3.14415227867226
"11-1021","General and operations managers","Management",0.5748773,4.4,6,2.225,3.7,1.34,2.52,4.08,4.63,2.31,11.5419987124559,5.73560408697916
"11-2011","Advertising and promotions managers","Management",1.294387,-2.2,6,1.49,4.05,1.06,2.19,4.4,4.68,2.01,11.7516273552003,1.1314021114911
"11-2021","Marketing managers","Management",1.315032,6.6,6,1.295,4.28,1.06,2.76,4.21,4.61,2.1,11.989345962012,3.56388296393925
"11-2022","Sales managers","Management",1.26628,4.7,6,1.335,3.86,1.15,2,3.9,4.86,2.26,11.8354436522575,3.91202300542815
"11-3021","Computer and information systems managers","Management",1.059853,15.2,6,2.22,3.58,1.36,3.72,3.37,4.58,2.56,12.0505877426898,4.03600898520914
"11-3031","Financial managers","Management",1.446232,14.8,6,1.43333333333333,3.47333333333333,1,3.35333333333333,4.30333333333333,4.31333333333333,2.61333333333333,11.9934980455652,4.32545628318549
"11-3051","Industrial production managers","Management",0.5086878,1.9,6,3.41916666666667,3.57,3.12666666666667,3.56666666666667,4.12333333333333,4.57833333333333,2.55666666666667,11.7071755926295,2.89591193827178
"11-3061","Purchasing managers","Management",1.423426,3.1,6,2.05,3.78,1.26,2.16,4.16,4.58,2.79,11.8458915622622,2.00148000021012
"11-3071","Transportation, storage, and distribution managers","Management",0.8907923,6.1,2,2.4075,3.785,1.51,2.695,4.405,4.595,2.515,11.5328261266766,2.9704144655697
"11-3111","Compensation and benefits managers","Management",1.298235,0.2,6,1.215,3.55,1,2.62,3.62,4.43,2.71,11.8519658296972,0.916290731874155
"11-3121","Human resources managers","Management",1.320417,5,6,1.59,3.73,1.32,2.95,3.91,4.68,2.68,11.8496119643498,2.9391619220656
"11-3131","Training and development managers","Management",1.284423,5.8,6,1.5,4.18,1.14,1.68,3.64,4.5,1.96,11.7526507758761,1.56861591791385
"11-9013","Farmers, ranchers, and other agricultural managers","Management",-0.1443684,-1.3,2,3.47,3.9,2.71,3.04,3.49,4.27,2.34,11.3848647949027,4.46014441393783
"11-9021","Construction managers","Management",1.029139,8.7,6,3.35,3.53,2.6,3.5,4.25,4.6,1.9,11.5803971800852,3.86702563949741
"11-9031","Education and childcare administrators, preschool and daycare","Management",0.838007,-2.5,6,2.295,3.76,1,3.85,3.93,4.98,2.1,10.9379168124273,1.87180217690159
"11-9032","Education administrators, kindergarten through secondary","Management",1.048811,-1.5,7,2.36,4.14,1,1.92,3.46,4.87,1.04,11.5528190286319,3.08190996979504
"11-9033","Education administrators, postsecondary","Management",1.461149,1.7,7,1.5,4.11,1.12,2.35,3.95,4.51,1.88,11.5517614887554,2.77881927199042
"11-9041","Architectural and engineering managers","Management",0.8370105,3.8,6,2.7725,4.135,2.395,2.67,3.64,4.31,2.06,12.0301704405384,2.7408400239252
"11-9051","Food service managers","Management",-0.1213112,6.4,2,3.245,3.52,1.28,2.83,4.12,4.84,1.71,11.0869004428967,3.76120011569356
"11-9071","Gambling managers","Management",0.8299207,1.2,2,2.375,3.29,1,3.54,3.91,4.78,2.43,11.3572068899708,0.470003629245736
"11-9081","Lodging managers","Management",0.4021726,3.4,2,2.605,3.98,1.13,2.6,4.35,4.89,2.86,11.1291729237677,1.85629799036563
"11-9111","Medical and health services managers","Management",1.260259,23.2,6,2.09,3.78,1.39,2.41,3.93,4.82,2.86,11.6781008629292,4.14472076954717
"11-9121","Natural sciences managers","Management",1.327906,3.7,6,2.44166666666667,3.57666666666667,1.89333333333333,2.66333333333333,3.38,4.24333333333333,1.81666666666667,11.9902770318785,2.2512917986065
"11-9131","Postmasters and mail superintendents","Management",0.8233757,-3.5,2,2.49,3.27,1.48,2.42,4.92,4.96,2.62,11.4374473237943,0.641853886172395
"11-9141","Property, real estate, and community association managers","Management",1.215396,3.6,2,2.375,3.35,1.45,2.6,3.95,4.7,2.2,11.1079602319037,3.68887945411394
"11-9151","Social and community service managers","Management",1.156153,6.4,6,1.85,3.87,1.17,2.92,3.91,4.67,2.23,11.2675363047087,2.97552956623647
"11-9161","Emergency management directors","Management",1.030768,3,6,2.725,3.65,1.86,2.68,3.45,4.41,1.86,11.3636130617832,0.693147180559945
"11-9199","Managers, all other","Management",0.9646872,4.5,6,2.60333333333333,3.60833333333333,1.85,2.96166666666667,3.79833333333333,4.415,1.95833333333333,11.8244461269019,4.67934958416234
"13-1011","Agents and business managers of artists, performers, and athletes","Business & Financial",1.068559,8.7,6,1.22,4.01,1,2.78,4.65,4.88,1.66,11.4753274345549,1.16315080980568
"13-1031","Claims adjusters, examiners, and investigators","Business & Financial",1.274024,-5.1,2,1.92,2.9,1.1,2.71,4.39,4.67,2.98,11.2488297023246,3.09557760852371
"13-1032","Insurance appraisers, auto damage","Business & Financial",0.6634955,-8.2,4,2.545,3.09,1.92,2.65,4.55,4.96,3.25,11.2470048843,0.405465108108164
"13-1041","Compliance officers","Business & Financial",0.6981205,3,6,2.13642857142857,3.10285714285714,1.68142857142857,2.89571428571429,3.94428571428571,4.58142857142857,2.19,11.2698342758463,3.53514535417189
"13-1051","Cost estimators","Business & Financial",1.367669,-4.2,6,1.75,3.55,1.19,2.36,3.77,3.68,2.14,11.252469378772,2.88480071284671
"13-1071","Human resources specialists","Business & Financial",1.36005,6.2,6,1.295,3.31,1,2.93,3.76,4.77,2.97,11.1969810828005,4.41642806139121
"13-1074","Farm labor contractors","Business & Financial",-0.4354025,6,1,2.65,1.72,1.63,2.5,4.45,4.49,2.2,10.7932289491767,0.262364264467491
"13-1075","Labor relations specialists","Business & Financial",1.334834,-0.1,6,1.36,3.35,1.33,2.84,3.71,4.48,1.9,11.4457167152768,1.80828877117927
"13-1081","Logisticians","Business & Financial",1.297303,16.7,6,2.015,3.65333333333333,1.71,2.65333333333333,4.17,4.50666666666667,2.71,11.3007218536944,3.31054301339402
"13-1111","Management analysts","Business & Financial",1.432417,8.8,6,1.62,4.14,1.32,2.79,4,4.25,2.55,11.5247552167238,4.59612944133594
"13-1121","Meeting, convention, and event planners","Business & Financial",0.3740207,4.8,6,2.615,3.99,1.07,1.87,4.57,4.91,1.66,10.9927226793916,2.80336038090653
"13-1131","Fundraisers","Business & Financial",1.242567,4.3,6,1.325,4.38,1,2.52,3.67,4.62,1.9,11.1048068393965,2.41591377830105
"13-1141","Compensation, benefits, and job analysis specialists","Business & Financial",1.440985,5.3,6,1.5,3.2,1.14,2.86,3.86,4.38,2.43,11.2518204073689,2.2512917986065
